tWeight,AUC
0.486,0.612651954517733
0.485,0.612629963994183
0.868,0.612609439505536
0.484,0.61257645372021
0.483,0.612542001899981
0.482,0.612489957660912
0.481,0.612430583247326
0.869,0.612392466339839
0.48,0.612390267287484
0.479,0.612334557961156
0.478,0.612258324146181
0.87,0.612226437887033
0.477,0.612218008186339
0.476,0.61215093708951
0.475,0.612096693798086
0.871,0.612053812277163
0.474,0.612051613224808
0.473,0.611984175619253
0.472,0.611920403100957
0.471,0.611874223001501
0.872,0.611874223001501
0.47,0.611789192977106
0.469,0.611764270383749
0.468,0.611711859635954
0.873,0.611666779062676
0.467,0.611644788539126
0.466,0.611581016020829
0.465,0.611516510485082
0.874,0.61148938883937
0.464,0.611489388839369
0.463,0.611469597368174
0.462,0.611421218216363
0.461,0.611363309837681
0.46,0.611328125
0.459,0.611278279813286
0.875,0.611263252955526
0.458,0.611220371434603
0.457,0.611150001759242
0.876,0.611060573630137
0.456,0.611052510438169
0.455,0.610992403007131
0.454,0.610911038069994
0.453,0.610891246598799
0.877,0.610850197621505
0.452,0.610847265551698
0.451,0.610813546748921
0.45,0.610757837422593
0.449,0.610698463009007
0.878,0.610661079118972
0.448,0.610652282909552
0.447,0.610595840565772
0.446,0.610533534082379
0.445,0.610448504057985
0.879,0.610428712586789
0.444,0.610383265504785
0.443,0.610338551440233
0.442,0.610296036428035
0.441,0.610252788398386
0.88,0.610210273386189
0.44,0.610200744159317
0.439,0.610121578274536
0.438,0.610047543511916
0.881,0.610030684110527
0.437,0.60999696530775
0.436,0.60992293054513
0.882,0.609859891044286
0.435,0.609859158026834
0.434,0.609789521368925
0.433,0.609727947902984
0.432,0.609671139050479
0.883,0.609644383913492
0.431,0.609641451843685
0.43,0.609577679325389
0.429,0.609532965260837
0.428,0.609497047405705
0.427,0.609457464463314
0.884,0.609413483416213
0.426,0.609412750398762
0.425,0.609373900473822
0.424,0.609324421795834
0.423,0.609252219576844
0.885,0.60921373616063
0.422,0.609198709302871
0.421,0.609149597133609
0.42,0.609079227458247
0.886,0.609007391747983
0.419,0.609006658730531
0.418,0.608956813543817
0.417,0.608898905165134
0.416,0.608856390152937
0.415,0.608788219529931
0.887,0.608762563919122
0.414,0.608727379081441
0.413,0.60867460182492
0.412,0.608614494393882
0.411,0.608553653945393
0.888,0.608553287436667
0.41,0.608513337985551
0.409,0.608459827711578
0.408,0.608412181577219
0.889,0.60836893354757
0.407,0.608349875093826
0.406,0.608308826116532
0.405,0.608262646017076
0.404,0.608193009359167
0.89,0.608163322152374
0.403,0.60811604252674
0.402,0.60808085768906
0.401,0.608013420083505
0.891,0.607981167315631
0.4,0.607950014073935
0.399,0.607891739186527
0.398,0.607831631755489
0.892,0.607781786568775
0.397,0.607777388464065
0.396,0.607707751806155
0.395,0.60766413726778
0.394,0.607619056694502
0.393,0.607564813403078
0.893,0.607517167268718
0.392,0.60751350218146
0.391,0.607487846570651
0.39,0.607446797593357
0.389,0.607394020336836
0.388,0.607324383678927
0.387,0.607296529015763
0.894,0.607294329963408
0.386,0.60724301874179
0.385,0.607171916048977
0.384,0.607136731211297
0.383,0.607087619042034
0.895,0.607077723306437
0.382,0.607057565326515
0.381,0.607020914453931
0.38,0.606980231985363
0.379,0.606931486324826
0.378,0.606869179841434
0.896,0.606854152983674
0.377,0.606825198794333
0.376,0.606769122959279
0.375,0.606716345702758
0.897,0.606673464181835
0.374,0.606652939693188
0.373,0.606586968122537
0.372,0.606508535255207
0.371,0.606465287225558
0.898,0.606443296702008
0.37,0.606401881215988
0.369,0.606339208223869
0.899,0.6062871639848
0.368,0.606285697949897
0.367,0.606228522588666
0.366,0.606194070768437
0.365,0.606139094459561
0.9,0.606122235058172
0.364,0.606078987028523
0.363,0.606017413562582
0.362,0.605947776904672
0.901,0.60591625715425
0.361,0.605882538351473
0.36,0.605844787952712
0.359,0.605819498850629
0.358,0.605774051768625
0.902,0.605723473564459
0.357,0.605713944337587
0.356,0.605683890622068
0.355,0.605621584138675
0.354,0.605564408777444
0.353,0.605502102294051
0.903,0.605497704189341
0.352,0.605439062793207
0.351,0.605389950623944
0.35,0.605344137033214
0.904,0.60530052249484
0.349,0.605270468779321
0.348,0.605215492470445
0.347,0.605161982196472
0.905,0.605109204939951
0.346,0.605104806835241
0.345,0.605074753119722
0.344,0.605017577758491
0.343,0.604944276013323
0.342,0.604901027983674
0.906,0.60487317332051
0.341,0.604862911076187
0.34,0.604823328133796
0.339,0.604763220702758
0.338,0.604703846289172
0.907,0.604664263346782
0.337,0.604654001102458
0.336,0.60460892052918
0.335,0.604538917362545
0.334,0.604478809931507
0.333,0.604413571378307
0.908,0.604409173273597
0.332,0.604367757787577
0.331,0.604324876266654
0.33,0.604265501853068
0.909,0.604201729334772
0.329,0.604200263299869
0.328,0.604145286990993
0.327,0.604069053176018
0.326,0.604020674024207
0.91,0.603992819361043
0.325,0.603979625046913
0.324,0.603942241156877
0.323,0.603898260109777
0.322,0.603832288539126
0.321,0.603774380160443
0.32,0.60373149863952
0.911,0.603723068938825
0.319,0.603684952031338
0.318,0.603631441757365
0.317,0.603581596570651
0.316,0.603551176346406
0.912,0.603518557069807
0.315,0.603514158965097
0.314,0.603480440162319
0.313,0.603443789289735
0.312,0.603380749788891
0.311,0.603314045200788
0.913,0.603283258467818
0.31,0.603272629714768
0.309,0.603226816124038
0.308,0.603178436972227
0.307,0.603116863506286
0.914,0.603101470139801
0.306,0.603075814528992
0.305,0.603049425900732
0.304,0.602986386399887
0.303,0.602941672335335
0.302,0.602902089392944
0.301,0.602852977223682
0.915,0.602847113084068
0.3,0.602788471687934
0.299,0.602722500117283
0.298,0.602661659668793
0.916,0.602619877674048
0.297,0.602611814482079
0.296,0.602576263135673
0.295,0.602525318422781
0.294,0.60248573548039
0.293,0.602423428996998
0.292,0.602382380019703
0.917,0.602340598024958
0.291,0.602325204658473
0.29,0.602257034035466
0.289,0.602217451093076
0.288,0.602174936080878
0.287,0.602130222016326
0.918,0.602108231492775
0.286,0.602074512689998
0.285,0.602008174610621
0.284,0.601953564810471
0.283,0.60190078755395
0.919,0.601898588501595
0.282,0.601847277279977
0.281,0.601810626407393
0.28,0.60176774488647
0.279,0.601732193540064
0.92,0.60169554266748
0.278,0.601666221969413
0.277,0.601622973939764
0.276,0.601562133491274
0.275,0.601510455760931
0.921,0.601507157182398
0.274,0.601463909152749
0.273,0.601400869651905
0.272,0.60134222825577
0.271,0.60129824720867
0.922,0.601264528405892
0.27,0.601244370425971
0.269,0.601193425713079
0.268,0.601146512596172
0.267,0.601117191898105
0.266,0.601073210851004
0.923,0.601018234542128
